name,formula,category,equation_type,coeffs,tier,Tmin_K,Tmax_K,molar_mass_gmol,unit,source,note
"Iron (alpha, bcc)",Fe,Metals & Alloys,shomate,"{""A"": 18.42868, ""B"": 24.64301, ""C"": -8.91372, ""D"": 9.664706, ""E"": -0.012643}",1,298.15,700.0,55.845,molar,"NIST-JANAF Thermochemical Tables (Chase, 1998), via NIST Chemistry WebBook SRD 69 (webbook.nist.gov, species Fe, CAS 7439-89-6) - fetched directly",Directly retrieved Shomate segment. Cp(298)=25.09 J/mol.K matches table.
"Iron (alpha, bcc, Curie region)",Fe,Metals & Alloys,shomate,"{""A"": -57767.65, ""B"": 137919.7, ""C"": -122773.2, ""D"": 38682.42, ""E"": 3993.08}",1,700.0,1042.0,55.845,molar,"NIST-JANAF Thermochemical Tables (Chase, 1998), via NIST Chemistry WebBook SRD 69 - fetched directly","Captures the magnetic (Curie, ~1043K) lambda-anomaly in Cp - good phase/anomaly-indicator demo."
"Iron (delta, bcc)",Fe,Metals & Alloys,shomate,"{""A"": -776.7387, ""B"": 919.4005, ""C"": -383.7184, ""D"": 57.08148, ""E"": 242.1369}",1,1100.0,1809.0,55.845,molar,"NIST-JANAF Thermochemical Tables (Chase, 1998), via NIST Chemistry WebBook SRD 69 - fetched directly",
Aluminium,Al,Metals & Alloys,kelley,"{""a"": 20.67, ""b"": 12.38, ""c"": 0}",2,298.0,932.0,26.982,molar,"Kelley eqn., Kubaschewski & Alcock, Metallurgical Thermochemistry / Gaskell, Introduction to Metallurgical Thermodynamics (App.) - cross-checked vs Cp(298K)=24.35 J/mol.K",
Copper,Cu,Metals & Alloys,kelley,"{""a"": 22.64, ""b"": 6.28, ""c"": 0}",2,298.0,1357.0,63.546,molar,"Kelley eqn., Kubaschewski & Alcock / Gaskell App. - cross-checked vs Cp(298K)=24.44 J/mol.K",
Zinc,Zn,Metals & Alloys,kelley,"{""a"": 22.38, ""b"": 10.04, ""c"": 0}",2,298.0,692.0,65.38,molar,"Kelley eqn., Kubaschewski & Alcock / Gaskell App. - cross-checked vs Cp(298K)=25.4 J/mol.K",
Lead,Pb,Metals & Alloys,kelley,"{""a"": 23.56, ""b"": 9.75, ""c"": 0}",2,298.0,600.0,207.2,molar,"Kelley eqn., Kubaschewski & Alcock / Gaskell App. - cross-checked vs Cp(298K)=26.4 J/mol.K",
"Titanium (alpha, hcp)",Ti,Metals & Alloys,kelley,"{""a"": 22.09, ""b"": 10.04, ""c"": 0}",2,298.0,1155.0,47.867,molar,"Kelley eqn., Kubaschewski & Alcock / Gaskell App. - cross-checked vs Cp(298K)=25.0 J/mol.K",
Chromium,Cr,Metals & Alloys,kelley,"{""a"": 24.43, ""b"": 9.87, ""c"": -3.67}",2,298.0,1093.0,51.996,molar,"Kelley eqn., Kubaschewski & Alcock / Gaskell App. - cross-checked vs Cp(298K)=23.35 J/mol.K",
Molybdenum,Mo,Metals & Alloys,kelley,"{""a"": 24.73, ""b"": 3.94, ""c"": -1.53}",2,298.0,2890.0,95.95,molar,"Kelley eqn., Kubaschewski & Alcock / Gaskell App. - cross-checked vs Cp(298K)=24.06 J/mol.K",
Manganese (alpha),Mn,Metals & Alloys,kelley,"{""a"": 23.85, ""b"": 8.87, ""c"": 0}",2,298.0,1000.0,54.938,molar,"Kelley eqn., Kubaschewski & Alcock / Gaskell App. - cross-checked vs Cp(298K)=26.3 J/mol.K",
Magnesium,Mg,Metals & Alloys,kelley,"{""a"": 22.3, ""b"": 10.13, ""c"": 0}",2,298.0,923.0,24.305,molar,"Kelley eqn., Kubaschewski & Alcock / Gaskell App. - cross-checked vs Cp(298K)=24.9 J/mol.K",
Gold,Au,Metals & Alloys,kelley,"{""a"": 23.68, ""b"": 5.19, ""c"": 0}",2,298.0,1336.0,196.97,molar,"Kelley eqn., Kubaschewski & Alcock / Gaskell App. - cross-checked vs Cp(298K)=25.4 J/mol.K",
Graphite (carbon),C,Metals & Alloys,kelley,"{""a"": 17.15, ""b"": 4.27, ""c"": -8.79}",2,298.0,2300.0,12.011,molar,"Kelley eqn., Kubaschewski & Alcock - cross-checked vs Cp(298K)=8.5 J/mol.K (excellent agreement)",Classic 'low Cp' covalent-solid example.
Nickel,Ni,Metals & Alloys,linear,"{""c0"": 26.07, ""c1"": 0.006}",3,298.0,600.0,58.693,molar,"Anchor Cp(298K)=26.07 J/mol.K (standard reference value); simple representative slope - remembered Kelley coefficients failed cross-check, replaced with anchor model",
Silver,Ag,Metals & Alloys,linear,"{""c0"": 25.35, ""c1"": 0.004}",3,298.0,1234.0,107.87,molar,Anchor Cp(298K)=25.35 J/mol.K; representative slope - verify against NIST-JANAF before submission,
Tungsten,W,Metals & Alloys,linear,"{""c0"": 24.27, ""c1"": 0.0025}",3,298.0,3650.0,183.84,molar,Anchor Cp(298K)=24.27 J/mol.K; representative slope - verify against NIST-JANAF before submission,
Stainless Steel 304,-,Metals & Alloys,linear,"{""c0"": 0.5, ""c1"": 0.00015}",3,298.0,900.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 (representative single value) - mild linear rise assumed above RT",Alloy - composition-dependent; treat as approximate.
Mild Steel (AISI 1020),-,Metals & Alloys,linear,"{""c0"": 0.486, ""c1"": 0.00015}",3,298.0,900.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 (representative single value) - mild linear rise assumed above RT",Alloy - composition-dependent; treat as approximate.
Ti-6Al-4V,-,Metals & Alloys,linear,"{""c0"": 0.526, ""c1"": 0.00015}",3,298.0,900.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 (representative single value) - mild linear rise assumed above RT",Alloy - composition-dependent; treat as approximate.
Inconel 718 (Ni superalloy),-,Metals & Alloys,linear,"{""c0"": 0.435, ""c1"": 0.00015}",3,298.0,900.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 (representative single value) - mild linear rise assumed above RT",Alloy - composition-dependent; treat as approximate.
Brass (70Cu-30Zn),-,Metals & Alloys,linear,"{""c0"": 0.38, ""c1"": 0.00015}",3,298.0,900.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 (representative single value) - mild linear rise assumed above RT",Alloy - composition-dependent; treat as approximate.
Bronze (90Cu-10Sn),-,Metals & Alloys,linear,"{""c0"": 0.38, ""c1"": 0.00015}",3,298.0,900.0,,specific,"Typical room-T specific heat, MatWeb / ASM Metals Handbook Vol.2 (representative single value) - mild linear rise assumed above RT",Alloy - composition-dependent; treat as approximate.
